DBCODE,ENTITY,QUALTRICSID,TIME,GEND,AGE,AGE_RANGE,INCO,EDU,RACE,ORG_DON,ORG_VOL,ENV_ID,INATT_CON,POL_OR,REL,SODES_1,SODES_2,SODES_3,SODES_4,SODES_5,SODES_6,SODES_7,SODES_8,SODES_9,SODES_10,SODES_11,SODES_12,SODES_13,MINC1_A1,MINC2_A2,MINC3_A3,MINC4_Z1,MINC5_Z2,MINC6_B1,MINC7_B2,MINC8_E1,MINC9_E2,MINC10_E3,MINC11_E4,MINC12_E5,MINC13_E6,MINC14_Z3,MINC15_Z4,MINC16_B3,MINC17_B4,MINC18_A4,MINC19_A5,MINC20_A6,MINC21_A7,MINC22_Z5,MINC23_Z6,MINC24_Z7,MINC25_Z8,MINC26_Z9,MINC27_B5,MINC28_B6,MINC29_B7,MINC30_B8,MINC31_E7,MINC32_E8,MINC33_E9,MINC34_E10,MINC35_Z10,MINC36_Z11,MINC37_Z12,MINC38_Z13,MINC39_Z14,MINC40_B9,MINC41_B10,MINC42_B11,MINC43_B12,MINC44_E11,MINC45_E12,MINC46_E13,MINC47_E14,TRT_CAT,TRT_ATT1,TRT_ATT2,TRT_ATT3,MOSA_1,MOSA_2,MOSA_3,HYDON1,HYDON2,HYDON3,MC1_MFI1,MC2_MFI2,MC3_MFB1,MC4_MFB2,MC5_MWH,MC6_MWNH,MC7_EMO,DON,DON2
SS007,1,260,985,2,33,2,3,2,3,3,2,2,1,4,2,2,2,2,1,2,1,1,2,1,2,1,1,2,4,3,5,7,5,4,5,5,2,5,5,3,4,4,2,1,4,6,6,4,4,5,5,5,4,3,4,4,3,4,4,2,4,4,5,5,4,4,3,3,5,4,4,4,3,5,5,5,5,5,4,4,3,4,2,0,0,2,4,5,6,5,7,4,1,1
SS007,1,261,784,2,56,5,2,2,3,2,2,1,1,7,1,1,2,1,1,1,1,1,1,2,2,1,1,1,7,7,7,7,7,1,7,7,1,7,7,1,7,5,5,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,1,5,1,7,7,7,7,7,7,7,0.05,1
SS007,1,262,486,1,33,2,6,6,2,2,2,1,1,2,3,1,2,1,2,1,1,1,2,1,1,1,1,2,6,5,7,7,7,1,7,7,1,7,7,1,7,6,6,1,7,7,7,7,7,7,7,7,7,4,7,7,4,4,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,7,7,2,0,0,4,4,4,7,7,7,4,0,0
SS007,1,263,754,1,29,2,2,3,3,2,2,2,1,3,2,2,1,2,2,2,1,2,1,2,2,1,1,2,6,6,6,7,7,4,4,6,6,6,5,3,6,2,2,1,5,7,7,7,4,7,7,7,7,4,4,4,2,2,7,2,4,4,6,6,6,6,4,6,6,6,6,6,5,6,6,2,6,6,6,6,6,5,2,0,0,6,4,4,6,7,7,5,2.06,1
SS007,1,264,984,1,40,3,1,3,5,2,2,2,1,6,2,1,2,1,2,1,2,1,1,2,2,2,1,2,5,5,7,6,7,2,6,7,1,7,7,1,7,6,2,2,6,6,7,7,7,7,7,6,6,3,4,4,3,3,7,2,7,7,7,7,5,6,3,2,5,3,2,7,2,7,7,6,7,7,6,6,6,5,2,0,0,6,2,2,5,7,7,5,0,0
SS007,1,265,2505,1,57,5,3,4,3,2,2,2,1,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,5,3,7,4,6,4,6,7,2,6,5,2,7,5,3,4,6,5,7,6,5,7,7,4,3,5,4,3,2,2,3,1,6,6,7,7,4,2,1,6,5,1,1,1,1,7,7,2,6,7,7,6,7,6,2,0,0,6,5,4,6,6,3,4,0.93,1
SS007,1,266,351,2,26,2,6,6,3,1,2,1,1,7,2,1,1,1,1,1,2,2,2,1,2,1,1,1,6,5,7,7,7,2,7,7,3,7,7,1,7,7,6,1,6,7,7,7,7,7,7,7,7,2,5,5,3,3,7,1,7,7,6,6,6,6,6,6,6,3,3,6,3,6,6,4,7,7,7,7,7,7,1,50,1,7,7,2,6,7,7,6,0.01,1
SS007,1,267,543,2,36,3,4,8,2,1,2,2,1,6,1,1,1,1,1,1,1,2,1,1,2,1,1,2,6,6,6,6,6,6,2,5,2,5,6,2,5,5,5,1,2,5,6,6,6,6,6,6,6,4,1,4,2,2,5,2,6,5,7,7,7,7,5,4,7,4,4,7,4,7,7,7,7,7,5,5,5,5,2,0,0,6,4,2,7,6,6,4,5,1
SS007,1,268,817,2,30,2,99,3,3,2,2,3,1,4,1,1,1,1,1,1,2,1,2,1,2,1,1,1,7,6,7,5,6,4,5,6,4,4,6,1,5,5,3,2,6,4,6,6,6,6,6,5,6,1,6,6,4,4,7,4,7,7,7,6,4,5,3,6,6,4,4,5,4,6,7,7,5,5,2,4,5,2,2,0,0,7,3,3,5,6,6,4,0,0
SS007,1,269,1022,1,50,4,8,7,3,1,1,2,1,1,3,2,2,2,2,1,2,1,2,1,2,2,1,1,7,7,7,7,7,7,7,4,4,4,1,4,4,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,7,1,5,1,4,4,4,4,1,1,1,1,1,1,1,1,1,6,4,4,1,1,1,1,2,0,0,4,4,1,1,1,1,7,0,0
SS007,1,270,653,2,44,3,5,6,3,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,7,2,7,7,7,3,5,6,2,5,5,2,5,1,1,1,4,7,7,7,7,7,7,5,4,1,1,2,1,1,6,1,4,4,5,5,3,2,1,1,1,1,1,1,1,2,2,6,5,6,4,4,4,4,2,0,0,4,5,3,5,6,6,3,5,1
SS007,1,271,543,1,75,7,2,6,3,2,2,3,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,1,5,3,7,4,7,3,6,7,4,6,6,3,7,1,1,2,7,4,5,6,6,6,6,6,6,6,6,6,1,2,6,2,7,7,6,3,6,6,2,3,5,1,1,2,1,7,7,2,7,7,7,5,7,5,2,0,0,7,7,1,6,7,5,6,0,0
SS007,1,272,628,1,68,6,5,6,3,2,2,1,1,6,1,2,1,2,2,1,1,2,1,1,2,1,1,1,7,7,7,6,6,6,5,7,1,6,7,1,6,1,1,1,1,7,7,7,7,7,7,7,7,6,6,7,6,6,7,1,7,7,7,7,7,7,2,2,7,2,2,7,2,7,7,3,7,7,6,7,7,6,2,0,0,7,4,1,5,5,7,4,5,1
SS007,1,273,820,1,65,6,3,2,3,2,2,3,1,3,2,2,2,1,2,1,2,1,2,2,2,1,2,1,6,6,7,7,7,4,4,5,2,4,6,2,6,2,2,4,7,7,7,7,7,7,7,7,7,6,7,7,4,4,7,4,7,7,7,7,7,7,4,5,7,4,4,7,4,7,7,4,7,7,7,7,7,7,2,0,0,7,7,4,5,3,7,6,5,1
SS007,1,274,432,1,31,2,3,4,3,2,2,1,1,3,3,1,2,1,2,1,2,1,2,1,1,2,2,1,7,6,7,6,6,1,7,7,1,7,7,1,7,3,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,3,7,7,7,7,7,7,7,7,7,7,6,7,3,7,7,6,7,7,6,7,7,7,1,25,1,7,7,6,7,7,6,7,4,1
SS007,1,275,609,1,58,5,5,7,3,1,1,1,1,7,2,2,2,2,1,1,2,1,2,1,2,2,2,1,7,6,7,7,7,5,5,7,1,7,7,1,7,5,1,1,7,7,7,7,7,7,7,7,7,1,1,2,1,1,7,1,7,7,7,7,7,7,1,1,6,2,1,7,1,7,7,4,7,7,7,7,7,7,1,25,1,7,7,6,6,5,7,6,0,0
SS007,1,276,629,1,59,5,5,3,3,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,7,7,7,4,7,7,1,4,4,4,5,3,4,3,3,1,4,7,7,7,7,7,7,7,7,3,3,3,1,1,7,1,7,7,5,5,4,3,2,2,4,1,1,4,1,7,7,4,4,4,2,2,2,2,2,0,0,4,4,4,4,1,7,2,0,0
SS007,1,277,764,1,31,2,4,6,3,2,2,1,1,7,2,2,1,2,2,1,1,1,2,1,2,1,1,2,6,4,7,7,7,4,5,7,1,7,7,1,7,4,2,2,4,7,7,7,7,7,7,7,7,4,4,6,4,2,7,4,7,7,4,6,4,6,4,2,7,4,2,5,2,7,7,2,7,7,7,7,7,6,2,0,0,7,7,4,7,7,4,4,0,0
SS007,1,278,717,1,47,4,4,6,5,1,2,3,1,6,3,2,1,2,2,1,1,2,1,1,2,1,1,2,6,4,6,7,6,4,5,7,5,7,6,3,7,2,2,1,7,7,7,7,7,7,7,5,5,3,4,6,2,2,7,2,6,6,7,7,5,5,4,5,6,3,3,7,3,6,6,6,7,7,7,7,7,6,1,25,1,7,5,5,6,7,7,7,0,0
SS007,1,279,670,1,39,3,3,3,3,1,2,1,1,7,1,2,2,2,1,1,2,1,2,1,2,2,2,1,7,7,7,7,7,4,7,7,4,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,1,7,7,7,7,7,7,1,7,7,1,1,7,1,7,7,2,7,7,7,7,7,7,1,20,1,7,7,4,7,7,7,4,0,0
SS007,1,280,1275,2,56,5,3,3,3,2,2,3,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,7,7,7,7,4,4,4,7,1,7,7,1,7,4,3,1,7,7,7,7,7,7,7,7,7,4,4,7,1,1,7,1,7,7,6,7,7,7,7,4,7,4,1,7,1,7,7,5,7,7,4,6,5,6,2,26,1,6,4,1,5,7,4,4,5,1
SS007,1,281,455,2,46,4,5,6,3,2,2,1,1,6,2,2,2,2,2,1,1,1,2,2,2,1,1,1,5,4,7,6,5,2,5,6,1,6,6,2,6,1,1,1,7,7,7,5,5,5,5,3,3,1,1,2,1,1,7,1,7,7,7,5,5,5,3,5,6,3,3,3,3,5,6,6,7,7,6,5,6,6,2,0,0,6,4,3,5,6,6,4,0,0
SS007,1,282,531,2,43,3,6,7,3,1,1,2,1,4,3,1,1,2,2,2,1,1,1,1,2,1,2,2,4,4,7,7,5,2,5,6,2,6,7,1,6,4,3,2,7,7,7,7,7,7,7,5,6,4,4,5,3,2,7,2,6,7,4,4,4,4,2,3,5,2,1,5,1,5,6,3,6,6,5,5,4,5,2,0,0,6,4,4,5,5,5,4,5,1
SS007,1,283,643,2,58,5,3,3,3,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,5,4,6,4,5,5,3,4,4,5,4,4,4,2,2,2,5,5,5,5,4,4,4,4,4,3,3,4,3,3,5,2,4,4,4,4,4,4,2,3,4,3,2,4,2,4,4,4,3,3,2,2,3,2,2,0,0,4,4,3,3,2,5,2,0,0
SS007,1,284,955,2,54,4,1,2,3,2,2,2,1,3,2,2,2,1,1,1,1,2,1,2,2,1,1,2,5,5,7,7,6,5,3,6,2,6,6,2,5,3,7,2,5,3,6,6,6,6,6,5,5,3,4,5,3,2,6,2,5,5,6,6,5,3,2,4,5,3,2,6,2,6,5,3,6,6,6,7,6,6,2,0,0,5,6,6,7,6,6,5,2.51,1
SS007,1,285,665,2,47,4,99,6,5,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,6,3,6,5,5,4,5,5,5,6,5,3,6,2,3,2,4,5,5,5,5,5,5,5,5,3,3,3,3,3,5,2,4,5,5,5,5,5,4,5,5,3,3,5,3,5,5,1,5,5,5,5,5,5,2,0,0,4,5,5,5,5,5,4,0,0
SS007,1,286,557,1,48,4,4,3,3,1,2,3,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,4,6,6,7,7,6,4,5,3,6,5,4,4,5,1,1,4,6,6,6,5,6,6,6,6,3,3,2,1,1,7,4,3,2,7,7,7,7,2,1,1,1,1,7,1,1,1,1,5,5,4,2,4,5,2,0,0,5,4,4,5,5,5,3,0,0
SS007,1,287,1002,2,56,5,4,3,3,2,1,1,1,1,3,2,2,2,2,1,1,1,2,1,2,2,1,1,5,6,7,6,5,2,5,5,2,7,6,1,6,1,7,1,7,7,7,7,7,7,7,5,5,3,4,6,4,2,7,1,6,6,6,6,6,6,3,4,6,5,3,6,2,6,6,4,6,6,6,5,5,6,2,0,0,7,6,4,6,6,6,5,5,1
SS007,1,288,1745,1,50,4,5,6,3,2,2,2,1,6,1,1,1,1,2,1,2,1,2,2,1,2,2,1,7,7,6,7,7,4,7,7,1,7,6,1,7,6,7,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,1,200,1,7,7,7,7,7,7,7,5,1
SS007,1,289,823,1,66,6,1,2,1,2,2,1,1,2,3,2,2,1,2,2,1,2,2,1,2,1,1,2,4,3,7,4,7,3,6,6,2,4,6,3,4,3,4,5,6,7,7,6,4,5,7,5,5,5,5,5,5,3,3,2,6,3,7,7,5,5,5,6,6,5,4,7,5,6,6,6,7,7,7,6,7,7,1,25,1,7,7,4,6,7,4,5,1,1
SS007,1,290,727,1,35,3,9,8,3,2,2,3,1,7,2,2,2,2,2,1,2,1,2,2,2,1,1,2,5,5,7,4,7,2,4,7,1,5,6,2,6,5,5,1,6,7,7,7,7,7,7,7,7,4,7,7,7,2,7,4,7,7,7,7,7,7,5,7,7,7,7,7,5,7,7,5,7,7,4,6,5,5,2,0,0,4,4,2,6,5,6,4,0.64,1
SS007,1,291,508,1,72,6,99,7,3,1,2,1,1,6,3,2,2,2,2,1,2,1,2,1,2,2,2,1,5,5,6,5,4,4,4,4,4,4,4,3,3,2,2,2,6,7,7,7,6,6,6,6,5,4,4,5,3,1,5,1,5,5,5,5,4,3,2,2,4,2,1,5,2,6,6,4,6,6,6,6,5,4,1,50,1,5,5,4,4,4,4,4,0,0
SS007,1,292,566,1,58,5,6,7,3,1,1,1,1,6,3,2,1,2,1,1,2,1,1,2,2,2,1,2,5,7,7,5,4,4,3,5,2,4,6,3,5,1,1,1,4,7,7,7,7,5,5,5,5,1,1,1,1,1,5,1,5,5,6,6,6,6,1,4,6,1,1,6,1,6,6,2,7,7,7,6,6,5,2,0,0,6,6,4,6,6,6,4,0.04,1
SS007,1,293,754,2,70,6,99,8,3,1,2,2,1,7,1,2,1,2,2,2,2,2,2,1,2,2,1,1,5,7,7,5,4,7,1,7,2,3,7,1,3,3,3,1,1,7,7,7,7,5,6,5,6,4,2,2,2,2,7,7,7,7,5,5,5,5,5,5,5,5,5,7,7,7,7,1,7,7,4,5,6,6,2,0,0,7,4,3,6,6,6,4,5,1
SS007,1,294,787,1,66,6,5,2,3,2,2,2,1,3,1,2,2,2,2,1,2,1,1,2,1,2,1,1,3,4,7,7,7,3,4,5,2,7,6,2,6,7,2,1,4,7,7,7,4,7,7,7,7,2,3,3,3,2,7,2,7,7,7,7,7,7,2,2,2,2,2,7,2,7,7,2,7,6,4,4,4,4,2,0,0,4,4,4,4,4,4,4,0.06,1
SS007,1,295,718,2,68,6,5,7,3,2,2,1,1,7,4,2,2,2,1,1,2,1,2,1,2,2,2,1,7,1,7,7,4,1,5,6,1,7,7,7,7,1,1,1,7,7,4,7,4,4,7,4,4,1,4,4,5,4,7,1,7,7,7,5,7,5,2,4,5,5,4,7,1,7,7,7,5,5,4,4,5,4,2,0,0,5,4,5,5,6,2,4,0,0
SS007,1,296,835,2,61,5,4,6,3,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,2,1,1,5,4,5,5,6,4,5,5,5,4,5,6,4,1,1,1,5,6,6,6,6,5,5,5,5,3,3,4,3,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,4,5,4,4,2,0,0,5,4,4,4,5,5,4,4.9,1
SS007,1,297,732,2,52,4,4,8,3,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,5,5,7,3,3,7,2,2,3,2,3,3,2,1,2,1,7,2,6,6,5,3,3,3,3,1,1,2,2,1,6,1,6,5,4,4,4,4,4,4,4,4,2,3,2,4,4,6,4,6,4,5,5,5,2,0,0,5,6,4,3,5,6,3,1,1
SS007,1,298,929,2,18,1,99,99,3,1,1,3,1,4,3,1,1,1,2,1,1,1,1,2,2,1,2,2,7,7,7,6,6,5,4,5,1,7,4,1,6,1,1,2,4,1,1,1,2,1,3,4,5,2,4,2,5,2,2,3,5,1,1,4,2,5,1,1,4,3,4,2,6,7,4,2,7,7,5,5,6,4,1,150,1,4,5,1,7,6,6,5,0,0
SS007,1,299,527,1,75,7,4,2,3,2,2,1,1,3,3,2,2,2,2,1,1,1,2,1,1,1,1,1,7,1,7,7,7,4,5,7,1,7,7,1,7,1,2,1,7,7,7,7,7,7,7,7,7,6,6,7,7,6,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,6,2,0,0,7,7,7,7,7,7,6,0,0
SS007,1,300,1100,1,72,6,3,2,3,2,2,2,1,9,3,2,2,2,1,1,1,1,2,1,2,1,2,2,7,6,7,7,7,2,7,1,2,7,4,4,4,3,7,1,7,7,7,7,6,7,7,7,2,3,6,6,2,1,7,1,3,3,7,5,7,4,1,5,5,1,1,7,1,2,4,4,7,7,4,7,7,4,1,0,0,7,6,7,7,7,7,6,0,0
SS007,1,301,623,1,27,2,5,3,3,2,2,2,1,2,3,2,2,2,2,1,2,1,2,1,1,2,2,1,6,6,7,5,5,3,5,6,3,7,6,2,6,3,1,1,6,7,7,7,7,7,7,6,5,4,4,5,3,3,7,3,7,7,6,6,6,5,4,4,6,3,3,6,4,7,7,3,6,6,6,6,6,6,2,0,0,6,5,7,7,5,7,6,0.51,1
SS007,1,302,833,1,68,6,99,3,3,2,2,3,1,1,3,2,2,2,2,1,2,1,2,1,1,2,2,1,6,4,7,7,7,2,6,5,1,5,4,3,4,2,1,1,4,7,7,7,4,7,7,7,7,4,6,6,1,1,5,5,5,5,7,7,7,4,1,4,7,2,2,6,1,5,5,7,5,5,4,4,5,4,2,0,0,6,4,4,5,5,5,4,0,0
SS007,1,303,492,2,64,5,4,6,3,2,2,1,1,6,3,1,2,2,2,1,2,1,2,1,1,2,2,2,6,2,6,5,5,3,3,6,2,2,6,2,6,3,5,2,6,6,6,6,6,6,6,6,6,4,5,5,5,3,6,3,6,6,6,6,6,6,5,6,6,6,5,6,5,6,6,4,6,6,6,6,6,6,2,0,0,6,6,5,6,6,6,6,5,1
SS007,1,304,529,1,33,2,5,6,3,2,2,2,1,3,2,2,2,2,2,1,2,1,2,1,1,1,1,2,7,4,7,5,5,3,4,5,3,5,5,3,5,3,5,1,6,7,7,6,6,6,6,6,6,3,4,6,2,2,6,3,6,6,7,6,6,6,1,2,6,1,1,6,3,6,6,6,7,7,6,4,5,5,1,20,1,5,4,2,6,6,5,4,5,1
SS007,1,305,528,1,32,2,5,6,3,2,2,2,1,4,2,2,1,2,2,1,2,1,2,1,2,2,2,2,7,4,7,7,7,4,4,4,4,5,6,3,5,3,1,1,5,7,7,7,7,7,7,4,5,1,4,4,1,1,7,1,7,7,7,7,6,6,1,1,4,1,1,7,1,7,7,4,6,7,6,6,7,7,2,0,0,6,6,1,6,4,7,5,5,1
SS007,1,306,678,1,50,4,6,6,3,2,2,2,1,8,2,1,1,1,1,2,1,2,1,2,2,1,1,2,5,4,6,6,5,7,6,6,2,4,6,2,4,5,5,1,6,7,7,7,7,7,7,7,7,2,1,5,1,1,7,1,6,6,6,4,4,4,2,2,4,2,2,4,2,4,4,3,5,5,4,4,5,5,2,0,0,7,7,6,6,2,7,4,0,0
SS007,1,307,3018,2,24,1,4,3,3,1,1,2,1,3,2,1,2,2,2,1,2,1,2,1,2,2,2,2,7,7,7,7,7,1,7,7,1,7,7,1,7,5,7,5,7,7,7,7,7,7,7,7,7,5,5,7,5,5,7,3,7,7,7,7,7,7,3,7,7,4,4,7,3,7,7,5,7,7,7,7,7,7,1,5,1,7,7,7,7,7,7,7,5,1
SS007,1,308,714,2,69,6,4,6,3,2,2,1,1,1,3,2,2,2,2,2,1,1,1,1,1,1,1,2,7,2,6,6,6,5,5,4,3,3,3,3,3,2,6,1,5,6,6,6,6,6,6,5,5,1,1,1,1,1,5,1,6,5,7,7,6,6,2,2,5,1,1,6,1,7,7,1,3,7,2,2,2,4,2,0,0,2,4,2,5,4,5,1,0,0
SS007,1,309,1934,2,63,5,6,7,3,1,1,2,1,3,3,2,2,2,2,1,2,2,1,1,2,2,2,1,7,6,7,4,5,4,4,6,6,7,6,4,4,1,1,1,1,7,7,7,7,7,7,7,7,1,4,5,1,1,7,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,5,5,4,3,5,4,2,0,0,4,4,4,5,5,5,4,0,0
SS007,1,310,742,1,61,5,3,5,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,6,4,6,4,5,5,3,4,5,5,5,5,4,3,6,1,5,4,6,6,6,6,6,6,6,4,4,5,4,3,5,3,5,4,6,5,4,3,2,4,5,4,2,5,2,5,5,6,5,5,4,4,5,5,2,0,0,5,4,3,5,5,4,2,1.01,1
SS007,1,311,687,1,42,3,4,3,3,2,2,1,1,6,1,2,2,1,2,1,2,1,2,1,2,1,2,2,5,4,5,5,5,3,5,5,4,5,5,4,5,3,2,3,5,6,6,6,6,6,6,5,5,4,4,5,4,3,5,2,5,5,5,6,5,5,4,4,4,4,3,5,3,5,5,5,5,6,5,5,5,5,2,0,0,5,5,4,6,5,5,5,0.04,1
SS007,1,312,667,1,60,5,2,3,3,2,2,3,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,6,7,7,6,7,3,5,7,4,7,7,1,7,1,1,1,7,7,7,7,7,7,7,7,7,4,5,7,6,4,7,1,7,7,7,7,7,7,1,7,7,6,4,7,1,7,7,1,7,7,7,7,7,7,2,0,0,7,7,7,7,7,7,7,0.01,1
SS007,1,313,2214,1,61,5,3,4,3,2,2,1,1,3,3,1,2,2,2,1,2,1,2,1,1,1,2,1,5,5,7,7,7,1,7,6,1,7,6,1,6,1,5,3,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,4,1,4,4,5,5,7,4,7,6,1,7,6,6,7,6,6,2,0,0,4,6,5,5,6,2,3,0.94,1
SS007,1,314,986,1,58,5,3,3,3,2,2,1,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,3,4,7,5,5,5,5,5,3,5,6,2,5,1,5,2,5,1,1,1,1,1,1,1,1,4,2,2,4,5,1,6,1,1,1,1,1,1,4,2,2,4,5,2,6,2,2,3,6,6,6,7,6,6,2,0,0,6,6,5,6,6,7,6,5,1
SS007,1,315,1030,1,57,5,5,7,99,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,2,2,1,7,6,7,7,7,7,7,7,1,7,7,1,7,4,7,4,7,1,1,7,7,7,1,4,7,1,7,7,4,4,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,10,1,7,7,4,7,7,7,7,5,1
SS007,1,316,369,1,20,1,3,3,3,2,2,2,1,3,3,2,2,2,2,1,2,1,2,1,2,1,2,1,7,5,7,7,7,4,4,5,3,6,6,1,6,2,1,1,7,7,7,7,7,7,7,7,7,1,4,4,1,1,7,1,7,7,7,7,7,7,1,2,3,1,1,7,1,7,7,5,7,7,7,7,7,7,2,0,0,7,7,5,7,7,7,4,1,1
SS007,1,317,1769,1,52,4,3,3,3,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,6,6,7,6,6,2,5,7,1,3,7,1,3,1,1,1,7,7,7,7,4,7,7,7,4,1,4,4,1,1,7,1,7,7,7,7,7,1,1,7,5,1,1,5,1,7,7,1,7,7,5,4,7,7,1,10,1,7,7,4,7,7,4,7,5,1
SS007,1,318,527,2,61,5,8,7,3,2,2,3,1,6,1,2,2,1,2,2,2,1,1,2,2,2,1,2,5,4,6,7,6,6,4,5,2,6,6,2,5,7,7,1,3,5,7,6,6,6,6,6,6,3,2,5,4,2,6,1,7,6,5,7,5,6,2,4,5,5,2,7,1,7,5,5,7,7,5,5,5,4,2,0,0,6,3,2,6,5,6,3,5,1
SS007,1,319,1323,1,22,1,6,6,2,1,1,1,1,6,2,2,2,1,1,1,2,1,2,1,2,1,2,1,5,6,6,6,7,2,6,6,2,5,6,3,5,3,4,3,5,6,5,5,6,6,6,6,4,2,4,3,4,3,7,2,5,4,7,4,6,4,2,2,3,2,1,7,2,5,5,4,6,6,5,4,6,5,1,10,1,6,4,4,6,5,6,6,3.94,1
SS007,1,320,769,1,34,2,3,7,3,2,2,2,1,3,3,2,1,1,2,2,1,1,2,1,2,1,2,1,7,5,7,5,5,4,5,7,1,5,7,1,5,3,3,2,7,6,7,7,7,5,5,4,5,4,4,4,3,3,5,4,5,5,5,5,4,5,4,5,5,5,4,5,4,4,4,5,6,5,4,3,4,4,2,0,0,2,4,5,7,5,6,4,2.5,1
SS007,1,321,1217,2,44,3,4,2,3,1,2,1,1,4,1,1,1,1,1,1,2,1,2,1,1,1,2,1,6,4,6,6,6,3,6,6,2,6,6,2,6,5,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,4,6,6,6,6,6,6,4,6,6,4,2,6,3,6,6,7,6,6,4,5,5,5,2,0,0,4,5,5,5,4,5,4,4,1
SS007,1,322,1259,1,71,6,6,3,1,2,2,1,1,4,3,2,2,2,2,1,2,1,2,1,2,2,2,2,7,5,7,4,4,2,6,7,1,6,6,2,6,1,1,1,6,7,7,7,7,7,7,7,7,4,6,7,4,1,7,1,7,7,7,7,7,7,1,6,7,3,1,7,1,7,7,6,7,7,7,7,7,7,1,,3,7,7,7,7,7,7,7,5,1
SS007,1,323,2378,2,35,3,6,7,3,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,4,4,6,4,6,7,7,6,6,6,6,4,6,7,6,6,6,6,6,7,6,5,5,7,6,7,6,6,7,6,7,7,5,6,6,7,6,7,7,6,6,7,1,7,6,7,6,5,6,1,100,1,6,7,6,6,4,6,5,3.53,1
SS007,1,324,775,2,44,3,9,8,3,2,2,2,1,6,2,2,1,1,1,2,1,2,2,1,2,1,1,2,7,4,7,7,7,4,4,7,1,7,7,1,6,5,5,1,3,7,7,7,7,7,7,7,7,4,1,5,1,1,7,1,7,7,7,7,7,7,1,1,1,1,1,7,7,7,7,1,7,7,3,3,4,4,2,0,0,6,2,2,6,5,5,1,5,1
SS007,1,325,1131,2,37,3,4,6,3,2,2,2,1,3,3,2,1,1,2,2,1,2,1,1,2,1,1,1,7,5,7,2,4,7,1,5,3,4,4,3,4,1,1,1,7,7,7,7,7,3,3,3,3,1,1,1,1,1,5,1,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,4,2,0,0,5,4,4,4,1,7,1,0,0
SS007,1,326,1017,1,70,6,7,7,3,2,2,3,1,7,2,2,2,2,2,1,2,1,2,2,1,2,2,1,6,6,7,5,6,4,5,5,5,6,6,3,6,2,2,2,4,7,7,7,7,6,6,5,6,4,4,4,3,2,6,2,6,6,5,6,6,6,3,4,5,3,2,6,2,6,6,3,6,6,5,6,6,6,1,25,1,6,4,4,6,6,6,5,2.54,1
SS007,1,327,316,2,32,2,5,3,3,1,1,1,1,1,3,2,1,1,2,1,2,2,1,1,2,2,1,1,5,6,5,5,6,4,6,4,6,5,6,1,5,1,1,1,7,7,7,7,7,7,6,5,5,1,1,1,1,1,7,5,6,6,6,4,5,5,2,4,4,5,5,4,2,5,5,2,6,7,6,5,6,6,2,0,0,6,7,5,6,5,7,6,0,0
